entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.497,0.2211,0.08672,0.02985,0.02775,0.06027,0.007905,0.001524,0.00224,0.008805,0.01791,0.0,0.3786,0.3784,
1.496,0.2232,0.08603,0.02981,0.02778,0.06033,0.007908,0.001525,0.00224,0.009013,0.01771,0.0,0.3787,0.3789,
1.496,0.2249,0.08559,0.02989,0.02774,0.06045,0.007909,0.001548,0.002254,0.008976,0.01789,0.0,0.3788,0.379,
1.495,0.2281,0.08517,0.02983,0.0277,0.06057,0.007911,0.001549,0.002254,0.009017,0.01771,0.0,0.3789,0.3794,
1.498,0.227,0.08569,0.02972,0.02771,0.06046,0.007856,0.0015,0.002252,0.009047,0.01873,0.0,0.3786,0.3785,
1.497,0.2306,0.08527,0.02965,0.02775,0.06041,0.007822,0.001491,0.002253,0.009257,0.01845,0.0,0.3787,0.3789,
1.497,0.2305,0.08505,0.02969,0.02779,0.06052,0.007822,0.001491,0.002253,0.009257,0.01845,0.0,0.3787,0.3789,
1.497,0.2298,0.08491,0.02958,0.02782,0.06048,0.007895,0.001421,0.002254,0.00926,0.01846,0.0,0.3789,0.3791,
1.496,0.2218,0.08451,0.02948,0.02781,0.06057,0.007867,0.001414,0.002296,0.009296,0.01838,0.0,0.379,0.3794,
1.495,0.2241,0.08373,0.02934,0.02782,0.06085,0.007828,0.001404,0.002334,0.009345,0.01827,0.0,0.3791,0.38,
1.497,0.2244,0.08435,0.02939,0.02789,0.06101,0.007828,0.001404,0.002334,0.009683,0.01803,0.0,0.3791,0.379,
1.496,0.2311,0.08419,0.02936,0.0279,0.06093,0.00783,0.001405,0.002334,0.009813,0.01791,0.0,0.3792,0.3791,
1.499,0.2307,0.0839,0.02926,0.02787,0.06089,0.007775,0.001403,0.002429,0.01005,0.01877,0.0,0.3788,0.3788,
1.498,0.2325,0.08338,0.02924,0.02791,0.06094,0.007666,0.001404,0.002512,0.0103,0.01836,0.0,0.379,0.3793,
1.498,0.2288,0.08262,0.02929,0.02791,0.0611,0.007669,0.001404,0.002564,0.01035,0.01828,0.0,0.3791,0.3797,
1.504,0.2359,0.08312,0.02926,0.02793,0.06113,0.007661,0.001403,0.004546,0.008699,0.01903,0.0,0.3787,0.3785,
1.504,0.2377,0.08255,0.02925,0.02796,0.06126,0.007662,0.001403,0.004547,0.009137,0.01859,0.0,0.3787,0.3789,
1.505,0.2404,0.08258,0.02921,0.028,0.06135,0.007662,0.001403,0.00464,0.009321,0.01849,0.0,0.3788,0.3786,
1.506,0.2418,0.08169,0.02946,0.0279,0.06154,0.007658,0.001402,0.004638,0.009317,0.01911,0.0,0.3786,0.3787,
1.505,0.2402,0.08144,0.0294,0.02796,0.06145,0.007571,0.001402,0.004669,0.009751,0.01865,0.0,0.3786,0.3791,
1.504,0.2382,0.08105,0.02938,0.02798,0.06127,0.007574,0.001441,0.004633,0.009863,0.01841,0.0,0.3788,0.3796,
1.506,0.2382,0.08148,0.02955,0.02803,0.06144,0.007483,0.001441,0.004745,0.009752,0.01854,0.0,0.3788,0.3787,
1.506,0.2383,0.08119,0.02959,0.02805,0.06146,0.007482,0.001441,0.004837,0.009805,0.0184,0.0,0.3789,0.3789,
